"AKT.P.P" "PIP3" "dummy1" "ERK.P" "ErbB2.P" "RAF.P" "SHC.P" "MEK.P" "PIP2" "ErbB4.P" "AKT.P" "ErbB1.P" "dummy2" "SOS.P" "Gab1.P" "MEK.P.P" "Ras:GTP" "dummy3" "ERK.P.P" "ErbB3.P"
"AKT.P" 0.760333333333333 0.000333333333333333 0.000555555555555556 0.00244444444444444 0.007 0.00611111111111111 0.000777777777777778 0.0877777777777778 0.000666666666666667 0.000333333333333333 0 0.266777777777778 0.000555555555555556 0.00122222222222222 0.126 0.00444444444444444 0.00777777777777778 0.000888888888888889 0.0583333333333333 0.008
"ErbB1.P" 0.000888888888888889 0.000888888888888889 0.000555555555555556 0.000666666666666667 0.0113333333333333 0.00866666666666667 0.000555555555555556 0.002 0.000888888888888889 0.000777777777777778 0.000777777777777778 0 0.000777777777777778 0.000777777777777778 0.155888888888889 0.00177777777777778 0.00722222222222222 0.000888888888888889 0.0495555555555556 0.000444444444444444
"dummy2" 0.000666666666666667 0.00133333333333333 0.00733333333333333 0.000333333333333333 0.00155555555555556 0.000555555555555556 0.00111111111111111 0.00255555555555556 0.000333333333333333 0.000777777777777778 0.00322222222222222 0.00188888888888889 0 0.00277777777777778 0.000777777777777778 0.00111111111111111 0.000777777777777778 0.000666666666666667 0.001 0.000444444444444444
"SOS.P" 0.679 0.001 0.000888888888888889 0.0202222222222222 0.009 0.182 0.001 0.02 0.0226666666666667 0.00588888888888889 0.00288888888888889 0.00211111111111111 0.000444444444444444 0 0.00355555555555556 0.0158888888888889 0.0473333333333333 0.000333333333333333 0.112111111111111 0.000444444444444444
"Gab1.P" 0.000777777777777778 0.00111111111111111 0.000444444444444444 0.00155555555555556 0.0103333333333333 0.000555555555555556 0.000888888888888889 0.0145555555555556 0.00133333333333333 0.00244444444444444 0.00155555555555556 0.00166666666666667 0.000444444444444444 0.000222222222222222 0 0.000666666666666667 0.006 0.000888888888888889 0.0396666666666667 0.000222222222222222
"MEK.P.P" 0.001 0.000444444444444444 0.000333333333333333 0.000444444444444444 0.001 0.000111111111111111 0.000444444444444444 0.000666666666666667 0.001 0.000555555555555556 0.000333333333333333 0.000888888888888889 0.001 0.000888888888888889 0.000888888888888889 0 0.000333333333333333 0.000111111111111111 0.000555555555555556 0.000333333333333333
"Ras:GTP" 0.000333333333333333 0.00166666666666667 0.000555555555555556 0.000333333333333333 0.0136666666666667 0.00233333333333333 0.000666666666666667 0.000555555555555556 0.008 0.00766666666666667 0.00977777777777778 0.000111111111111111 0.000222222222222222 0.000555555555555556 0.000888888888888889 0.001 0 0.003 0.000666666666666667 0.00122222222222222
"dummy3" 0.00533333333333333 0.000666666666666667 0.000888888888888889 0.0268888888888889 0.000888888888888889 0.00288888888888889 0.000444444444444444 0.00244444444444444 0.000222222222222222 0.00277777777777778 0.000888888888888889 0.000888888888888889 0.00511111111111111 0.000222222222222222 0.000555555555555556 0.00277777777777778 0.00144444444444444 0 0.00177777777777778 0.00166666666666667
"ERK.P.P" 0.00355555555555556 0.000444444444444444 0.00133333333333333 0.0545555555555556 0.00111111111111111 0.00188888888888889 0.000444444444444444 0.767222222222222 0.01 0.003 0.001 0.000777777777777778 0.00255555555555556 0.008 0.00144444444444444 0.000555555555555556 0.000444444444444444 0.00133333333333333 0 0.000666666666666667
"ErbB3.P" 0.0133333333333333 1 0.000666666666666667 0.00811111111111111 0.002 0.000555555555555556 0.000555555555555556 0.00122222222222222 0.000444444444444444 0.00588888888888889 0.05 0.00155555555555556 0.001 0.0145555555555556 0.00244444444444444 0.000888888888888889 0.000888888888888889 0.000333333333333333 0.00422222222222222 0
